order_id,product_id,quantity,unit_price,revenue,product_name,category,cost,selling_price,total_cost,profit,profit_margin,customer_id,order_date,status,customer_name,city,country,month
1,5349,4,942.12,3768.48,Jacket Pro 5349,Fashion,680.9,1105.79,2723.6,1044.88,27.726828854073794,7414,2023-07-06,Shipped,Hussain Raza,Karachi,Pakistan,2023-07
2,4382,2,364.78,729.56,Data Science Book Basic 4382,Books,291.79,378.29,583.58,145.9799999999999,20.009320686441132,1669,2025-09-20,Shipped,Zainab Khan,Sukkur,Pakistan,2025-09
3,9632,4,256.02,1024.08,Air Purifier Basic 9632,Home,205.84,284.68,823.36,200.7199999999999,19.60003124755878,198,2025-05-14,Shipped,Sara Chaudhry,Islamabad,Pakistan,2025-05
4,2807,4,147.63,590.52,Blender Plus 2807,Home,124.7,155.78,498.8,91.71999999999997,15.532073426810264,914,2022-05-21,Pending,Hassan Iqbal,Peshawar,Pakistan,2022-05
5,7848,5,821.89,4109.45,Business Book Premium 7848,Books,678.37,862.39,3391.85,717.5999999999999,17.462190804122205,3088,2025-12-28,Shipped,Fatima Siddiqui,New York,USA,2025-12
6,5571,2,813.66,1627.32,Marketing Book Ultra 5571,Books,618.9,879.73,1237.8,389.52,23.93628788437431,548,2023-09-13,Completed,Hamza Ali,Multan,Pakistan,2023-09
7,3347,3,775.22,2325.66,Sneakers Ultra 3347,Fashion,742.65,911.88,2227.95,97.71000000000004,4.201387993085835,3793,2025-12-12,Completed,Ali Khan,Multan,Pakistan,2025-12
8,2526,7,268.36,1878.52,Jacket Pro 2526,Fashion,173.07,276.66,1211.49,667.03,35.50827246981667,698,2025-07-20,Returned,Usman Raza,Multan,Pakistan,2025-07
9,9127,1,1547.09,1547.09,Perfume Pro 9127,Beauty,1072.71,1707.58,1072.71,474.3799999999999,30.662728089509976,352,2024-03-21,Completed,Hussain Ahmed,Dubai,UAE,2024-03
10,7837,3,1835.98,5507.9400000000005,Air Purifier Plus 7837,Home,1444.48,2067.29,4333.4400000000005,1174.5,21.323761696750505,5827,2025-02-16,Completed,Fatima Memon,Toronto,Canada,2025-02
11,8749,3,2025.28,6075.84,Cricket Bat Max 8749,Sports,1456.21,2106.53,4368.63,1707.21,28.09833702006636,5554,2025-08-12,Completed,Maryam Ahmed,Hyderabad,Pakistan,2025-08
12,7664,2,1071.57,2143.14,Tennis Racket Ultra 7664,Sports,873.03,1106.54,1746.06,397.0799999999999,18.527954310031074,7949,2022-09-10,Completed,Fahad Malik,Toronto,Canada,2022-09
13,2715,6,1656.83,9940.98,Mouse Basic 2715,Electronics,1435.94,1704.74,8615.64,1325.3400000000001,13.332085971403224,4548,2024-10-21,Completed,Usman Shah,Islamabad,Pakistan,2024-10
14,8922,7,945.29,6617.03,Football Max 8922,Sports,693.48,979.21,4854.360000000001,1762.6699999999992,26.63838610373535,8641,2022-03-08,Completed,Hassan Malik,Islamabad,Pakistan,2022-03
15,9342,7,64.13,448.90999999999997,Jeans Ultra 9342,Fashion,56.07,73.06,392.49,56.41999999999996,12.56822080149695,4931,2025-05-07,Returned,Zainab Buriro,Sukkur,Pakistan,2025-05
16,7746,2,1113.33,2226.66,Shampoo Max 7746,Beauty,744.85,1151.84,1489.7,736.9599999999998,33.09710508115293,2717,2026-04-27,Shipped,Hamza Sheikh,Hyderabad,Pakistan,2026-04
17,4854,1,209.27,209.27,Webcam Basic 4854,Electronics,200.33,236.03,200.33,8.939999999999998,4.271993118937257,1335,2025-07-12,Returned,Ahmed Iqbal,Toronto,Canada,2025-07
