customer_id,customer_name,total_orders,total_quantity,total_revenue,total_cost,total_profit,first_purchase,last_purchase,average_order_value,customer_lifespan_days,profit_margin,customer_lifetime_value,customer_segment
2422,Ahmed Ahmed,5,23,36477.92,28139.63,8338.29,2022-07-05,2026-02-15,7295.58,1321,22.86,36477.92,VIP
356,Hira Sheikh,4,25,32583.2,23469.29,9113.91,2022-12-09,2025-10-25,8145.8,1051,27.97,32583.2,VIP
3569,Sana Mirza,6,22,32108.28,23685.84,8422.44,2022-07-22,2023-05-10,5351.38,292,26.23,32108.28,VIP
9459,Maham Raza,4,20,31923.02,24509.52,7413.5,2022-12-30,2025-12-14,7980.75,1080,23.22,31923.02,VIP
2184,Hussain Ahmed,3,19,31444.61,24598.48,6846.13,2023-05-20,2023-12-31,10481.54,225,21.77,31444.61,VIP
7262,Fatima Mirza,4,19,31202.34,22512.57,8689.77,2022-03-05,2024-05-22,7800.58,809,27.85,31202.34,VIP
7454,Hassan Hussain,4,21,30986.44,24331.11,6655.33,2022-08-20,2026-05-14,7746.61,1363,21.48,30986.44,VIP
9434,Maryam Siddiqui,4,22,30975.52,21508.99,9466.53,2023-08-06,2025-10-27,7743.88,813,30.56,30975.52,VIP
5324,Omar Khan,5,24,30511.51,23656.65,6854.86,2022-01-23,2026-08-06,6102.3,1656,22.47,30511.51,VIP
7023,Danish Qureshi,3,19,27789.34,22418.87,5370.47,2023-07-20,2026-01-27,9263.11,922,19.33,27789.34,VIP
7090,Saad Malik,5,18,27552.01,19557.19,7994.82,2023-09-18,2025-06-27,5510.4,648,29.02,27552.01,VIP
7648,Hamza Qureshi,4,18,27501.51,21859.39,5642.12,2022-02-12,2025-10-01,6875.38,1327,20.52,27501.51,VIP
8385,Sana Ahmed,4,22,27414.09,20959.4,6454.69,2022-01-10,2025-03-18,6853.52,1163,23.55,27414.09,VIP
6127,Zainab Shah,4,19,26912.57,19561.75,7350.82,2022-04-29,2024-03-30,6728.14,701,27.31,26912.57,VIP
2076,Hamza Sheikh,4,16,26802.1,18834.8,7967.3,2022-07-23,2026-01-17,6700.52,1274,29.73,26802.1,VIP
1183,Maham Ali,4,19,26193.84,19686.15,6507.69,2022-08-06,2025-07-20,6548.46,1079,24.84,26193.84,VIP
694,Sana Malik,3,19,25975.18,22566.91,3408.27,2024-02-14,2026-02-05,8658.39,722,13.12,25975.18,VIP
9547,Bilal Memon,5,22,25913.32,20826.59,5086.73,2022-05-18,2025-01-03,5182.66,961,19.63,25913.32,VIP
7274,Fahad Shah,4,23,25826.01,20438.82,5387.19,2023-04-27,2026-03-13,6456.5,1051,20.86,25826.01,VIP
244,Hamza Sheikh,3,19,25685.92,17926.25,7759.67,2023-03-25,2026-05-05,8561.97,1137,30.21,25685.92,VIP
3767,Danish Sheikh,4,19,25663.7,20020.86,5642.84,2022-04-02,2025-11-13,6415.92,1321,21.99,25663.7,VIP
5351,Fatima Chaudhry,5,23,25572.86,21209.63,4363.23,2023-04-12,2026-07-08,5114.57,1183,17.06,25572.86,VIP
1359,Ayesha Memon,3,18,25503.3,18087.96,7415.34,2025-06-19,2026-07-01,8501.1,377,29.08,25503.3,VIP
5360,Bilal Mirza,5,24,25394.32,19949.98,5444.34,2022-02-06,2025-12-10,5078.86,1403,21.44,25394.32,VIP
8920,Imran Buriro,3,16,25383.05,19467.71,5915.34,2024-06-10,2026-08-06,8461.02,787,23.3,25383.05,VIP
5952,Usman Siddiqui,3,17,25271.22,21694.92,3576.3,2022-12-17,2025-05-05,8423.74,870,14.15,25271.22,VIP
3311,Hassan Iqbal,4,24,25258.18,20078.96,5179.22,2023-01-05,2025-06-14,6314.54,891,20.51,25258.18,VIP
1894,Hussain Khan,4,19,25193.57,17379.78,7813.79,2022-05-07,2025-11-19,6298.39,1292,31.02,25193.57,VIP
6453,Imran Sheikh,4,20,25172.63,17119.69,8052.94,2022-04-29,2026-01-01,6293.16,1343,31.99,25172.63,VIP
6812,Maryam Malik,3,19,24967.69,19047.56,5920.13,2026-02-23,2026-04-22,8322.56,58,23.71,24967.69,VIP
6768,Omar Sheikh,3,16,24965.58,17666.28,7299.3,2022-07-04,2024-11-25,8321.86,875,29.24,24965.58,VIP
2052,Hussain Khan,2,14,24953.74,16362.01,8591.73,2023-02-21,2026-05-21,12476.87,1185,34.43,24953.74,VIP
2950,Maryam Chaudhry,3,17,24947.54,20168.87,4778.67,2023-03-26,2026-02-06,8315.85,1048,19.15,24947.54,VIP
9894,Hira Chaudhry,5,23,24857.19,17284.77,7572.42,2022-01-03,2026-01-16,4971.44,1474,30.46,24857.19,VIP
8968,Ayesha Malik,4,18,24808.67,22381.02,2427.65,2022-01-19,2026-07-17,6202.17,1640,9.79,24808.67,VIP
7466,Omar Khan,2,14,24803.31,18341.05,6462.26,2023-07-09,2025-03-08,12401.66,608,26.05,24803.31,VIP
6679,Maryam Khan,5,19,24666.68,19714.05,4952.63,2022-11-25,2025-12-23,4933.34,1124,20.08,24666.68,VIP
4331,Imran Ali,4,17,24618.42,17729.49,6888.93,2024-07-01,2026-06-14,6154.6,713,27.98,24618.42,VIP
2440,Hira Buriro,3,15,24575.91,17080.5,7495.41,2023-12-07,2025-02-26,8191.97,447,30.5,24575.91,VIP
3764,Hamza Shah,4,23,24557.06,20008.93,4548.13,2022-01-22,2025-07-27,6139.26,1282,18.52,24557.06,VIP
4078,Ayesha Raza,4,17,24493.2,17573.75,6919.45,2022-11-10,2026-07-27,6123.3,1355,28.25,24493.2,VIP
4320,Maham Qureshi,2,14,24455.83,19434.17,5021.66,2022-03-14,2025-12-29,12227.92,1386,20.53,24455.83,VIP
1884,Hira Buriro,3,17,24426.63,21770.82,2655.81,2022-02-04,2026-02-21,8142.21,1478,10.87,24426.63,VIP
698,Usman Raza,5,27,24418.7,20567.47,3851.23,2022-06-25,2025-07-20,4883.74,1121,15.77,24418.7,VIP
3615,Imran Hussain,5,24,24384.38,17554.42,6829.96,2022-10-26,2026-05-04,4876.88,1286,28.01,24384.38,VIP
130,Hussain Raza,3,16,24336.92,18646.7,5690.22,2022-08-30,2025-03-05,8112.31,918,23.38,24336.92,VIP
6763,Sana Chaudhry,3,15,24187.05,18595.98,5591.07,2022-11-24,2026-04-25,8062.35,1248,23.12,24187.05,VIP
8405,Hira Chaudhry,3,15,24138.63,16645.23,7493.4,2023-03-16,2024-08-25,8046.21,528,31.04,24138.63,VIP
6212,Fatima Buriro,5,19,24120.14,19399.91,4720.23,2022-06-26,2026-01-29,4824.03,1313,19.57,24120.14,VIP
