customer_id,customer_name,total_revenue,total_profit,total_orders,total_quantity
2422,Ahmed Ahmed,36477.92,8338.290000000003,5,23
356,Hira Sheikh,32583.199999999997,9113.909999999998,4,25
3569,Sana Mirza,32108.28,8422.439999999999,6,22
9459,Maham Raza,31923.019999999997,7413.5,4,20
2184,Hussain Ahmed,31444.61,6846.129999999999,3,19
7262,Fatima Mirza,31202.339999999997,8689.769999999997,4,19
7454,Hassan Hussain,30986.440000000002,6655.329999999999,4,21
9434,Maryam Siddiqui,30975.52,9466.53,4,22
5324,Omar Khan,30511.51,6854.860000000001,5,24
7023,Danish Qureshi,27789.339999999997,5370.469999999998,3,19
7090,Saad Malik,27552.010000000002,7994.82,5,18
7648,Hamza Qureshi,27501.510000000002,5642.12,4,18
8385,Sana Ahmed,27414.09,6454.69,4,22
6127,Zainab Shah,26912.57,7350.82,4,19
2076,Hamza Sheikh,26802.1,7967.299999999999,4,16
1183,Maham Ali,26193.84,6507.690000000001,4,19
694,Sana Malik,25975.18,3408.2699999999986,3,19
9547,Bilal Memon,25913.32,5086.730000000001,5,22
7274,Fahad Shah,25826.010000000002,5387.190000000001,4,23
244,Hamza Sheikh,25685.92,7759.670000000001,3,19
3767,Danish Sheikh,25663.7,5642.84,4,19
5351,Fatima Chaudhry,25572.86,4363.2300000000005,5,23
1359,Ayesha Memon,25503.3,7415.339999999998,3,18
5360,Bilal Mirza,25394.32,5444.339999999998,5,24
8920,Imran Buriro,25383.05,5915.339999999998,3,16
5952,Usman Siddiqui,25271.22,3576.2999999999993,3,17
3311,Hassan Iqbal,25258.18,5179.219999999999,4,24
1894,Hussain Khan,25193.57,7813.790000000001,4,19
6453,Imran Sheikh,25172.63,8052.9400000000005,4,20
6812,Maryam Malik,24967.69,5920.129999999998,3,19
6768,Omar Sheikh,24965.579999999998,7299.299999999997,3,16
2052,Hussain Khan,24953.739999999998,8591.73,2,14
2950,Maryam Chaudhry,24947.54,4778.670000000002,3,17
9894,Hira Chaudhry,24857.190000000002,7572.42,5,23
8968,Ayesha Malik,24808.670000000002,2427.6500000000015,4,18
7466,Omar Khan,24803.309999999998,6462.260000000001,2,14
6679,Maryam Khan,24666.68,4952.63,5,19
4331,Imran Ali,24618.42,6888.9299999999985,4,17
2440,Hira Buriro,24575.910000000003,7495.410000000002,3,15
3764,Hamza Shah,24557.06,4548.13,4,23
4078,Ayesha Raza,24493.2,6919.450000000001,4,17
4320,Maham Qureshi,24455.83,5021.66,2,14
1884,Hira Buriro,24426.629999999997,2655.8099999999995,3,17
698,Usman Raza,24418.7,3851.2299999999996,5,27
3615,Imran Hussain,24384.379999999997,6829.960000000001,5,24
130,Hussain Raza,24336.920000000002,5690.220000000001,3,16
6763,Sana Chaudhry,24187.050000000003,5591.0700000000015,3,15
8405,Hira Chaudhry,24138.629999999997,7493.399999999998,3,15
6212,Fatima Buriro,24120.140000000003,4720.230000000001,5,19
5783,Hussain Siddiqui,23981.6,7493.990000000001,2,12
3694,Maham Raza,23923.32,5260.339999999998,4,21
8915,Maham Siddiqui,23891.65,5367.389999999999,6,17
2122,Danish Khan,23868.559999999998,5293.4800000000005,3,18
5461,Maryam Memon,23643.49,6068.1500000000015,3,17
4275,Ahmed Shah,23635.72,7211.2,3,16
5411,Fahad Malik,23525.99,5584.6900000000005,4,23
7209,Fahad Ahmed,23504.370000000003,4635.080000000002,4,19
8470,Maham Qureshi,23466.63,3517.83,5,21
4482,Fahad Hussain,23418.53,5758.180000000001,3,16
4856,Hassan Iqbal,23416.17,4864.65,4,19
1846,Ayesha Hussain,23319.21,6307.289999999999,3,15
8531,Sana Hussain,23311.89,3792.25,2,14
6788,Maryam Memon,23104.559999999998,5335.74,3,15
245,Maham Hussain,23080.18,8581.640000000001,2,10
2121,Hamza Malik,23067.28,6181.42,4,18
2639,Usman Mirza,23048.48,3417.2599999999993,4,20
3755,Maryam Siddiqui,22993.079999999998,4552.249999999999,5,20
3125,Ahmed Ahmed,22897.54,5883.73,2,13
6204,Fatima Ahmed,22859.920000000002,5179.7300000000005,3,15
9749,Ayesha Mirza,22839.52,7098.34,3,20
7720,Fatima Siddiqui,22735.34,3486.360000000002,4,20
123,Maryam Ali,22718.27,4446.610000000001,3,20
74,Ali Shah,22619.760000000002,5341.860000000001,2,12
4596,Hassan Iqbal,22602.31,6151.810000000003,3,16
9051,Fatima Ali,22592.42,6118.4,3,14
4337,Bilal Khan,22479.43,4246.6900000000005,3,13
9032,Zainab Chaudhry,22407.99,4985.0,4,16
9714,Ayesha Buriro,22272.739999999998,5978.1799999999985,3,17
5848,Fahad Shah,22256.68,5633.4400000000005,2,13
9630,Ayesha Hussain,21984.02,7071.53,4,16
6254,Hamza Qureshi,21949.01,5717.279999999999,3,17
4049,Hamza Qureshi,21917.16,5798.97,6,18
7625,Saad Siddiqui,21818.01,5723.53,3,14
7813,Hira Memon,21772.02,6458.4400000000005,3,16
8739,Ali Buriro,21534.09,4741.560000000001,2,12
9494,Ayesha Raza,21508.8,3967.619999999999,2,13
5029,Sara Raza,21464.86,4071.2199999999975,2,13
473,Hassan Ali,21391.57,4563.160000000003,3,14
6985,Saad Malik,21351.190000000002,4446.330000000001,4,28
7570,Ayesha Iqbal,21290.61,2817.21,3,14
2219,Hira Iqbal,21259.29,4978.629999999999,3,17
3561,Zainab Memon,21257.620000000003,4480.67,2,13
6060,Hassan Chaudhry,21224.370000000003,3623.6500000000005,3,13
7168,Hira Ahmed,21215.04,3711.539999999999,2,14
6619,Imran Shah,21179.68,7550.759999999998,2,11
3340,Imran Sheikh,21092.960000000003,4836.790000000002,2,14
5368,Omar Buriro,21081.55,5479.669999999998,2,14
2480,Imran Iqbal,21059.4,3623.04,3,18
9478,Fahad Buriro,21044.800000000003,6370.84,2,13
