customer_id,customer_name,city,country,signup_date
1,Ahmed Buriro,Karachi,Pakistan,2022-04-18
2,Hira Siddiqui,Dubai,UAE,2022-12-10
3,Ayesha Mirza,Rawalpindi,Pakistan,2025-10-21
4,Ahmed Memon,Dubai,UAE,2021-07-29
5,Usman Ali,Quetta,Pakistan,2021-08-10
6,Zainab Iqbal,Rawalpindi,Pakistan,2022-09-08
7,Sara Buriro,Peshawar,Pakistan,2024-05-14
8,Sara Buriro,Karachi,Pakistan,2025-07-03
9,Zainab Ali,Dubai,UAE,2024-02-21
10,Danish Siddiqui,Hyderabad,Pakistan,2023-10-03
11,Zainab Qureshi,Multan,Pakistan,2025-11-10
12,Hussain Chaudhry,Islamabad,Pakistan,2021-12-16
13,Maham Hussain,Multan,Pakistan,2026-01-12
14,Ayesha Mirza,Multan,Pakistan,2022-09-30
15,Zainab Siddiqui,Rawalpindi,Pakistan,2022-07-17
16,Fatima Shah,Doha,Qatar,2026-04-28
17,Ahmed Raza,Hyderabad,Pakistan,2024-08-09
18,Fahad Khan,Islamabad,Pakistan,2023-05-31
19,Fahad Mirza,Quetta,Pakistan,2022-11-04
20,Bilal Hussain,Hyderabad,Pakistan,2023-06-19
21,Hussain Buriro,Faisalabad,Pakistan,2025-06-02
22,Sara Qureshi,Dubai,UAE,2021-11-08
23,Ahmed Iqbal,Lahore,Pakistan,2021-12-22
24,Ayesha Chaudhry,Peshawar,Pakistan,2022-09-13
25,Hira Buriro,Karachi,Pakistan,2023-09-10
26,Maham Ahmed,Karachi,Pakistan,2025-07-19
27,Omar Sheikh,Lahore,Pakistan,2022-03-06
28,Fatima Khan,Islamabad,Pakistan,2025-05-22
29,Zainab Ahmed,Multan,Pakistan,2026-01-24
30,Sara Memon,Doha,Qatar,2023-06-07
31,Imran Buriro,Toronto,Canada,2026-05-14
32,Omar Iqbal,Lahore,Pakistan,2025-12-27
33,Ayesha Malik,Doha,Qatar,2025-06-13
34,Imran Qureshi,Sukkur,Pakistan,2023-02-14
35,Ahmed Sheikh,Quetta,Pakistan,2022-09-05
